Language,Code,Locale
Arabic,ar,ar-SA
Armenian,hy,hy-AM
Bengali,bn,bn-BD
Bosnian (Latin),bs,bs-Latn-BA
Bulgarian,bg,bg-BG
Catalan,ca,ca-ES
Chinese (Simplified),zh,zh-CN
Chinese (Traditional),zf,zh-TW
Croatian,hr,hr-HR
Czech,cs,cs-CZ
Danish,da,da-DK
Dutch,nl,nl-NL
English (Great Britain),6n,en-GB
English (United States),en,en-US
Estonian,et,et-EE
Finnish,fi,fi_FI
French (Canada),3f,fr-CA
French (France),fr,fr-FR
Georgian,ka,ka-GE
German (Germany),de,de-DE
Greek,el,el-GR
Hebrew,he,he-IL
Hindi,hi,hi-IN
Hungarian,hu,hu-HU
Icelandic,is,is-IS
Indonesian,id,id-ID
Italian,it,it-IT
Japanese,ja,ja-JP
Kazakh,kk,kk-KZ
Khmer,km,km-KH
Korean,ko,ko-KR
Lao,lo,lo-LA
Latvian,lv,lv-LV
Lithuanian,lt,lt-LT
Macedonian (Cyrillic),mk,mk-MK
Malay,ms,ms-MY
Maori,mi,mi-NZ
Montenegrin (Latin),ct,cnr-ME
Norwegian,no,nb-NO
Polish,pl,pl-PL
Portuguese (Brazil),pt,pt-BR
Portuguese (Portugal),1p,pt-PT
Romanian,ro,ro-RO
Russian,ru,ru-RU
Serbian (Cyrillic),sr,sr-Cyrl-RS
Serbian (Latin),sh,sr-Latn-RS
Slovak,sk,sk-SK
Slovenian,sl,sl-SI
Spanish (Colombia),0s,es-CO
Spanish (Mexico),1x,es-MX
Spanish (Spain),es,es-ES
Swedish,sv,sv-SE
Thai,th,th-TH
Turkish,tr,tr-TR
Ukrainian,uk,uk-UA
Uzbek,uz,uz-Latn-UZ
Vietnamese,vi,vi-VN
Welsh,cy,cy-GB
